"Years","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"        Alaska (Items)",,,,,,,,,,,,,,,,,,,,"2176665","559332","6645978","4440149","266266","525017","62648","2951597","1125419","293018","286887","1316876","233561","5111404","496467","653023","410683",,,
"        Arizona (Items)",,,,,,,,,,,,,,,,,,,,"700101","193475","219900","975456","177427","101381","85496","263358","76318","1016428","216090","105281","205199","160152","308245","429564","165356",,,
"        Arkansas (Items)",,,,,,,,,,,,,,,,,,,,"15334","25446","21182","26317","75506","32212","10941","19229","37671","54032","39765","14733","20164","26630","33371","34624","24071",,,
"        California (Items)",,,,,,,,,,,,,,,,,,,,"506696","793402","242057","202754","678919","1087110","1375781","405585","109529","126854","869599","577675","555044","893362","560815","1266224","1823153.2",,,
"        Colorado (Items)",,,,,,,,,,,,,,,,,,,,"926502","27655","24996","27390","94483","20739","141964","50456","44020","161167","246445","195145","24949","22602","129495","111667","475803",,,
"        Connecticut (Items)",,,,,,,,,,,,,,,,,,,,"1843","138","94","263","419","288","893","246","267","244","417","238","69","159","778","243","40",,,
"        Delaware (Items)",,,,,,,,,,,,,,,,,,,,"1659","22","0","231","126","153","36","44","32",,,"17","0","0","0","6","0",,,
"        District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Florida (Items)",,,,,,,,,,,,,,,,,,,,"50328","34366","169789","35922","199993","584495","156102","156102","63091","299991","66868","7660","101599","73432","74416","298831","138820",,,
"        Georgia (Items)",,,,,,,,,,,,,,,,,,,,"160041","9794","27500","19263","40202","837895","23081","13714","20137","149222","19136","6736","19199","10556","52119","200785","14236",,,
"        Hawaii (Items)",,,,,,,,,,,,,,,,,,,,"3660","6465","656","4","9863","21030","0","7800","10172","2178","1802","0","0","5611","15098","2098","21979",,,
"        Idaho (Items)",,,,,,,,,,,,,,,,,,,,"84964","312932","13981","442391","933548","1980552","116796","22681","642997","384103","1667654","722204","189430","804094","361649","686262","604481",,,
"        Illinois (Items)",,,,,,,,,,,,,,,,,,,,"96","1346","476","733","1040","611","16","1155","1330","2019","1848","55","727","806","133","98","120",,,
"        Indiana (Items)",,,,,,,,,,,,,,,,,,,,"1691","4344","3351","2568","3468","5730","1064","4706","7940","530","1846","806","276","868","620","553","115",,,
"        Iowa (Items)",,,,,,,,,,,,,,,,,,,,"1045","3417","585","10566","827","684","2217","8565","2722","2145","349","14704","11347","14945","21371","7216","8014",,,
"        Kansas (Items)",,,,,,,,,,,,,,,,,,,,"2672","52864","9066","21670","85746","24260","64772","40278","25055","111128","53607","7137","31261","53936","349829","476306","59234",,,
"        Kentucky (Items)",,,,,,,,,,,,,,,,,,,,,"20931","28247","60005","60534","60917","38474","43741","60287","24961","35397","25084","43199","19207","73864","28927","8417",,,
"        Louisiana (Items)",,,,,,,,,,,,,,,,,,,,"25942","18147","25575","47468","42712","9341","17332","29272","35448","52763","11088","17883","25337","21036","7799","11356","10742",,,
"        Maine (Items)",,,,,,,,,,,,,,,,,,,,"784","870","960","822","1794","423","535","481","353","116","489","743","158","574","946","369","678",,,
"        Maryland (Items)",,,,,,,,,,,,,,,,,,,,"4825","1140","3147","4350","6396","5790","2421","4956","1590","8310","838","182","1802","1078","242","2178","359",,,
"        Massachusetts (Items)",,,,,,,,,,,,,,,,,,,,"2611","1530","1534","2530","2821","2687","2918","1144","2156","545","1027","879","1197","1763","1381","844","210",,,
"        Michigan (Items)",,,,,,,,,,,,,,,,,,,,"966","7002","2754","4684","8128","23344","2675","3899","12122","1865","28377","940","416","3806","3666","736","3786",,,
"        Minnesota (Items)",,,,,,,,,,,,,,,,,,,,"62947","144420","42881","24944","66540","163111","19712","13858","34121","135650","64682","22107","4367","30563","12268","5553","17005",,,
"        Mississippi (Items)",,,,,,,,,,,,,,,,,,,,"16651","4803","3002","5409","178973","16119","27399","31280","34810","42036","135","33","10053","34769","8128","40595","21194",,,
"        Missouri (Items)",,,,,,,,,,,,,,,,,,,,"4186","49855","32542","0","24308","10537","9765","42241","22274","55395","26456","1660","5607","29893","32134","8459","6025",,,
"        Montana (Items)",,,,,,,,,,,,,,,,,,,,"111821","735619","18446","103267","1047323","778079","166840","48912","56711","168010","1220655","124209","38118","351264","114594","1366498","97814",,,
"        Nebraska (Items)",,,,,,,,,,,,,,,,,,,,"427","3667","400","2670","7164","4074","374","1164","1142","29643","316015","63","992","4854","24498","3160","122",,,
"        Nevada (Items)",,,,,,,,,,,,,,,,,,,,"77927","17582","39794","1032114","1349023","890414","71930","33366","23869","424170","613126","162907","59252","42479","265156","1329289","1001966",,,
"        New Hampshire (Items)",,,,,,,,,,,,,,,,,,,,"168","99","289","172","472","212","195","159","145","48","221","137","45","622","880","123","61",,,
"        New Jersey (Items)",,,,,,,,,,,,,,,,,,,,"6053","1460","549","1532","2514","20849","3322","1131","18495","794","3095","1430","10400","2685","4445","5144","1347",,,
"        New Mexico (Items)",,,,,,,,,,,,,,,,,,,,"419533","82528","83238","67036","607802","97750","487652","421481","233056","1286487","372497","221951","23440","44104","212425","141663","382344.5",,,
"        New York (Items)",,,,,,,,,,,,,,,,,,,,"2044","704","390","656","2508","855","3629","1404","2087","232","2127","1073","582","3844","4236","191","848",,,
"        North Carolina (Items)",,,,,,,,,,,,,,,,,,,,"34967","8636","20037","16801","24995","54658","95938","25142","21463","119482","35590","24547","15601","15220","88109","46507","18058",,,
"        North Dakota (Items)",,,,,,,,,,,,,,,,,,,,"58686","40498","21358","10195","90794","41647","38620","3404","3854","2862","32030","16116","4069","32321","4657","19841","19557",,,
"        Ohio (Items)",,,,,,,,,,,,,,,,,,,,"3969","3889","3126","2920","3866","0","0","10962","4218","1203","1250","152","684","548","1116","733","337",,,
"        Oklahoma (Items)",,,,,,,,,,,,,,,,,,,,"36727","97500","58893","146594","324011","20669","79520","153948","85770","293381","232579","26490","157080","100382","767780","502625","745097.4",,,
"        Oregon (Items)",,,,,,,,,,,,,,,,,,,,"1010952","160191","30018","155331","545870","14786","4534","100668","93731","285712","1256049","350786","984629","685809","219509","714520","897262.7",,,
"        Pennsylvania (Items)",,,,,,,,,,,,,,,,,,,,"1965","924","3","1100","6822","0","0","6132","3482","636","3157","1788","4519","4473","12245","1652","3614",,,
